epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1029.74,2.21094,0.36743,1.89592,0.85198,0.89432,0.9229,0.48001,2.15188,0.33707,1.87041,0.00186116,0.00186116,0.00186116
19,1086.57,2.2655,0.37389,1.90535,0.86937,0.95499,0.93873,0.46134,2.23533,0.32904,1.92036,0.00184479,0.00184479,0.00184479
20,1143.61,2.22661,0.3655,1.88552,0.85688,0.94912,0.93721,0.46876,2.17363,0.33416,1.88688,0.0018276,0.0018276,0.0018276
21,1201.01,2.20432,0.36236,1.87436,0.8856,0.96869,0.95227,0.49179,2.1044,0.32749,1.863,0.00180959,0.00180959,0.00180959
22,1259.16,2.18131,0.358,1.87878,0.87784,0.94521,0.94434,0.48057,2.17116,0.32257,1.87905,0.00179078,0.00179078,0.00179078
23,1315.88,2.17196,0.35413,1.88855,0.90345,0.95218,0.95682,0.48806,2.15694,0.31425,1.88477,0.0017712,0.0017712,0.0017712
24,1373.19,2.18436,0.3583,1.88614,0.88654,0.96673,0.95718,0.49688,2.09548,0.32034,1.84998,0.00175086,0.00175086,0.00175086
25,1429.96,2.18923,0.35288,1.89681,0.87222,0.93504,0.9427,0.48679,2.12036,0.31438,1.85633,0.00172978,0.00172978,0.00172978
26,1487.26,2.21202,0.34906,1.88361,0.86357,0.92906,0.93332,0.46316,2.11793,0.32637,1.85634,0.00170799,0.00170799,0.00170799
27,1544.23,2.17682,0.34855,1.86242,0.87673,0.9589,0.95212,0.49673,2.1475,0.30469,1.85803,0.00168549,0.00168549,0.00168549
28,1600.98,2.17207,0.33716,1.88031,0.89451,0.95303,0.95053,0.49602,2.16361,0.31409,1.87002,0.00166233,0.00166233,0.00166233
29,1657.7,2.16806,0.3301,1.84678,0.90098,0.94369,0.93789,0.47017,2.16818,0.31168,1.8749,0.00163851,0.00163851,0.00163851
30,1714.64,2.15745,0.33268,1.85924,0.87692,0.94716,0.95176,0.49549,2.12187,0.31199,1.84255,0.00161407,0.00161407,0.00161407
31,1771.26,2.1775,0.33897,1.88901,0.90157,0.91418,0.94672,0.50126,2.15215,0.31499,1.86965,0.00158902,0.00158902,0.00158902
32,1828.66,2.11868,0.32703,1.83115,0.89196,0.95321,0.95518,0.49726,2.12357,0.29891,1.86344,0.0015634,0.0015634,0.0015634
33,1886.22,2.16104,0.32819,1.84996,0.88697,0.95209,0.94574,0.49164,2.1253,0.29576,1.84783,0.00153722,0.00153722,0.00153722
34,1942.89,2.1153,0.31709,1.83743,0.89242,0.95782,0.95784,0.51023,2.0752,0.28811,1.83063,0.00151051,0.00151051,0.00151051
35,2002.19,2.15965,0.32642,1.86517,0.88265,0.95671,0.9455,0.51865,2.08729,0.30189,1.84169,0.00148331,0.00148331,0.00148331
